expt_id,group_id,network_error_repeat,participant_id,participation_duration,response_correct,response_mode,response_name,response_rt,response_target,response_type,response_value,session_id,stimuli_presented,trial_duration,trial_num,trial_template,server,presentation_order,age
6125d0a8c53cdcf33ca34cc6,default,0,1,1550.996047,,,,,,,,61337343e2e86d88d1391f15,Welcome,3441,1,Welcome,us,forward,56
6125d0a8c53cdcf33ca34cc6,default,0,1,1550.996047,,,openquestion,22265,,text-response,F,61337343e2e86d88d1391f15,gender,22274,2,Demographics,us,forward,56
6125d0a8c53cdcf33ca34cc6,default,0,1,1550.996047,,,openquestion,6138,,text-response,56,61337343e2e86d88d1391f15,age,6145,3,Demographics,us,forward,56
6125d0a8c53cdcf33ca34cc6,default,0,1,1550.996047,,,openquestion,20576,,text-response,highschool,61337343e2e86d88d1391f15,education,20581,4,Demographics,us,forward,56
6125d0a8c53cdcf33ca34cc6,default,0,1,1550.996047,,,openquestion,26727,,text-response,corum,61337343e2e86d88d1391f15,birth,26735,5,Demographics,us,forward,56
6125d0a8c53cdcf33ca34cc6,default,0,1,1550.996047,,,openquestion,15722,,text-response,istanbul,61337343e2e86d88d1391f15,grow,15730,6,Demographics,us,forward,56
6125d0a8c53cdcf33ca34cc6,default,0,1,1550.996047,,,openquestion,14864,,text-response,turkish,61337343e2e86d88d1391f15,motherstongue,14871,7,Demographics,us,forward,56
6125d0a8c53cdcf33ca34cc6,default,0,1,1550.996047,,,openquestion,12864,,text-response,turkish,61337343e2e86d88d1391f15,dadstongue,12870,8,Demographics,us,forward,56
6125d0a8c53cdcf33ca34cc6,default,0,1,1550.996047,,,openquestion,12049,,text-response,turkish,61337343e2e86d88d1391f15,languagesathome,12053,9,Demographics,us,forward,56
6125d0a8c53cdcf33ca34cc6,default,0,1,1550.996047,,,openquestion,8774,,text-response,no,61337343e2e86d88d1391f15,langotherturk,8778,10,Demographics,us,forward,56
6125d0a8c53cdcf33ca34cc6,default,0,1,1550.996047,,,openquestion,10614,,text-response,no,61337343e2e86d88d1391f15,otherspokenlanguages,10621,11,Demographics,us,forward,56
6125d0a8c53cdcf33ca34cc6,default,0,1,1550.996047,,,openquestion,16170,,text-response,no,61337343e2e86d88d1391f15,diagnosis,16174,12,Demographics,us,forward,56
6125d0a8c53cdcf33ca34cc6,default,0,1,1550.996047,,,,,,,,61337343e2e86d88d1391f15,TrainingInstruction,132646,13,TrainingInstruction,us,forward,56
6125d0a8c53cdcf33ca34cc6,default,0,1,1550.996047,TRUE,keypress,respTraining1,7857,['Furkan'],choice-response,Furkan,61337343e2e86d88d1391f15,Training1,17184,14,Training,us,forward,56
6125d0a8c53cdcf33ca34cc6,default,0,1,1550.996047,TRUE,keypress,respTraining2,33774,['otobus'],choice-response,otobus,61337343e2e86d88d1391f15,Training2,46989,15,Training,us,forward,56
6125d0a8c53cdcf33ca34cc6,default,0,1,1550.996047,TRUE,keypress,respTraining3,1499,['yuruyus'],choice-response,yuruyus,61337343e2e86d88d1391f15,Training3,11490,16,Training,us,forward,56
6125d0a8c53cdcf33ca34cc6,default,0,1,1550.996047,TRUE,keypress,respTraining4,4061,['cocuk'],choice-response,cocuk,61337343e2e86d88d1391f15,Training4,9114,17,Training,us,forward,56
6125d0a8c53cdcf33ca34cc6,default,0,1,1550.996047,,,,,,,,61337343e2e86d88d1391f15,ExperimentBegins,31652,18,ExperimentBegins,us,forward,56
6125d0a8c53cdcf33ca34cc6,default,0,1,1550.996047,TRUE,keypress,resp_sovm3_elektrikci_tesisatciyi_ovdu_2a_01_26,5987,['elektrikci'],choice-response,elektrikci,61337343e2e86d88d1391f15,sovm3_elektrikci_tesisatciyi_ovdu_2a_01,9702,19,SOVM3_2a,us,forward,56
6125d0a8c53cdcf33ca34cc6,default,0,1,1550.996047,TRUE,keypress,resp_sovu3_abla_kardes_cekistirdi_2a_01_38,3416,['abla'],choice-response,abla,61337343e2e86d88d1391f15,sovu3_abla_kardes_cekistirdi_2a_01,7389,20,SOVU3_2a,us,forward,56
6125d0a8c53cdcf33ca34cc6,default,0,1,1550.996047,TRUE,keypress,resp_ovsu4_sincap_kokladi_tavsan_2d_01_24,4307,['tavsan'],choice-response,tavsan,61337343e2e86d88d1391f15,ovsu4_sincap_kokladi_tavsan_2d_01,7022,21,OVSU4_2d,us,forward,56
6125d0a8c53cdcf33ca34cc6,default,0,1,1550.996047,TRUE,keypress,resp_ovsm2_adami_aldatti_kadin_2a_01_09,4978,['adam'],choice-response,adam,61337343e2e86d88d1391f15,ovsm2_adami_aldatti_kadin_2a_01,7346,22,OVSM2_2a,us,forward,56
