,tier,sentence,label,interval,third,F0,F0sd,F0max,F0min,dB,dBsd,dBmax,duration,wo,case,propcontent,"propcontent_no,",quart,pno,grammatical_role,diffo3v1
1,1,ovsm1_baskani_kurtardi_bakan_2c_01,baskan,1,1,240.7689553,1.569654795,242.5033169,239.4459144,56.4030268,2.235199607,58.57707814,0.358321995,ovs,m,baskanikurtardibakan,27,2c,1,object,1.3382529
2,1,ovsm1_baskani_kurtardi_bakan_2c_01,baskan,1,2,258.6102308,NA,258.7950548,257.8006696,50.08242289,3.94803954,52.60495753,0.358321995,ovs,m,baskanikurtardibakan,27,2c,1,object,1.3382529
3,1,ovsm1_baskani_kurtardi_bakan_2c_01,baskan,1,3,251.267983,4.144519456,257.8006696,246.4083515,50.08242289,1.791583452,62.28480855,0.358321995,ovs,m,baskanikurtardibakan,27,2c,1,object,1.3382529
4,1,ovsm1_baskani_kurtardi_bakan_2c_01,kurtar,3,1,249.9297301,10.23414717,258.289935,231.322063,52.86419353,7.669474902,57.74132105,0.784988662,ovs,m,baskanikurtardibakan,27,2c,1,verb,1.3382529
5,1,ovsm1_baskani_kurtardi_bakan_2c_01,kurtar,3,2,222.5298134,8.755735958,231.322063,209.7350565,50.94124285,8.082775544,56.23946557,0.784988662,ovs,m,baskanikurtardibakan,27,2c,1,verb,1.3382529
6,1,ovsm1_baskani_kurtardi_bakan_2c_01,kurtar,3,3,189.2996022,8.089446564,209.7350565,184.5134156,50.94124285,1.560281237,56.21561402,0.784988662,ovs,m,baskanikurtardibakan,27,2c,1,verb,1.3382529
7,1,ovsm1_baskani_kurtardi_bakan_2c_01,bakan,5,1,189.4268405,2.657747137,193.9865492,185.4977516,50.02190716,4.686714193,53.24994473,1.262970522,ovs,m,baskanikurtardibakan,27,2c,1,subject,1.3382529
8,1,ovsm1_baskani_kurtardi_bakan_2c_01,bakan,5,2,202.1361237,17.59705265,220.6135779,186.9426918,45.93313621,7.259598615,50.94725416,1.262970522,ovs,m,baskanikurtardibakan,27,2c,1,subject,1.3382529
9,1,ovsm1_baskani_kurtardi_bakan_2c_01,bakan,5,3,193.9058369,4.089426699,201.6592732,191.4052953,45.93313621,0.418382308,53.32554678,1.262970522,ovs,m,baskanikurtardibakan,27,2c,1,subject,1.3382529
10,1,ovsm1_doktoru_getirdi_hemsire_2b_01,doktor,1,1,229.1874277,3.471654852,232.3042143,225.2940717,56.82776039,2.231349095,58.5482658,0.337210884,ovs,m,doktorugetirdihemsire,1,2b,1,object,-3.0921292
11,1,ovsm1_doktoru_getirdi_hemsire_2b_01,doktor,1,2,234.2671274,NA,251.8611162,225.2940717,42.72792224,7.191913188,49.08253626,0.337210884,ovs,m,doktorugetirdihemsire,1,2b,1,object,-3.0921292
12,1,ovsm1_doktoru_getirdi_hemsire_2b_01,doktor,1,3,250.2893696,4.511538798,261.2211081,246.9861194,42.72792224,4.413967667,63.94528251,0.337210884,ovs,m,doktorugetirdihemsire,1,2b,1,object,-3.0921292
13,1,ovsm1_doktoru_getirdi_hemsire_2b_01,getir,3,1,253.3814988,6.710036644,262.6842747,244.8090721,59.01593782,4.184534932,61.87227884,0.710839002,ovs,m,doktorugetirdihemsire,1,2b,1,verb,-3.0921292
14,1,ovsm1_doktoru_getirdi_hemsire_2b_01,getir,3,2,250.8902704,NA,267.3348217,241.7877695,47.90446575,6.431031386,56.11279968,0.710839002,ovs,m,doktorugetirdihemsire,1,2b,1,verb,-3.0921292
15,1,ovsm1_doktoru_getirdi_hemsire_2b_01,getir,3,3,246.285974,12.51120578,265.2915463,225.0699237,47.90446575,3.17200982,60.80083823,0.710839002,ovs,m,doktorugetirdihemsire,1,2b,1,verb,-3.0921292
16,1,ovsm1_doktoru_getirdi_hemsire_2b_01,hemsire,5,1,218.0658739,8.536617773,231.7967277,204.2590254,55.10025237,1.372789126,57.09365863,1.316235828,ovs,m,doktorugetirdihemsire,1,2b,1,subject,-3.0921292
